                  Temp     Hi    Low   Out    Dew  Wind  Wind  Wind    Hi    Hi   Wind   Heat    THW   THSW                Rain  Solar   Solar Hi Solar    Heat    Cool    In     In    In     In     In   In Air          Wind  Wind    ISS   Arc.
  Date    Time     Out   Temp   Temp   Hum    Pt. Speed   Dir   Run Speed   Dir  Chill  Index  Index  Index   Bar    Rain  Rate   Rad.  Energy    Rad.     D-D     D-D    Temp   Hum    Dew   Heat    EMC Density     ET   Samp   Tx   Recept  Int.
11/09/14  4:10a   55.2   55.6   55.1    22   17.0   2.0   WNW  0.17   6.0     W   55.2   51.6   51.6   48.2   829.5  0.00  0.00     0     0.00      0     0.034   0.000   73.6    12   17.8   69.5   2.95  .0607    0.000   118    1    100.0    5 
11/09/14  4:15a   55.5   55.5   55.2    20   15.0   2.0   WNW  0.17   5.0   WSW   55.5   51.8   51.8   48.4   829.4  0.00  0.00     0     0.00      0     0.033   0.000   73.5    11   15.7   69.3   2.68  .0607    0.000   117    1    100.0    5 
11/09/14  4:20a   55.7   55.7   55.5    22   17.4   1.0   WSW  0.08   3.0   WSW   55.7   52.0   52.0   48.6   829.3  0.00  0.00     0     0.00      0     0.032   0.000   73.6    12   17.8   69.5   2.95  .0607    0.000   117    1    100.0    5 
11/09/14  4:25a   55.4   55.8   55.4    21   16.1   4.0    NW  0.33   8.0    NW   55.1   51.8   51.5   48.1   829.2  0.00  0.00     0     0.00      0     0.033   0.000   73.8    12   18.0   69.8   2.95  .0606    0.000   117    1    100.0    5 
11/09/14  4:30a   56.1   56.1   55.4    22   17.7   3.0   WNW  0.25   5.0    NW   56.1   52.4   52.4   49.0   829.3  0.00  0.00     0     0.00      0     0.031   0.000   73.6    12   17.8   69.5   2.95  .0607    0.000   117    1    100.0    5 
11/09/14  4:35a   56.6   56.6   56.1    19   14.8   2.0   WSW  0.17   6.0    SW   56.6   52.6   52.6   49.1   829.5  0.00  0.00     0     0.00      0     0.029   0.000   73.5    12   17.7   69.4   2.95  .0607    0.000   117    1    100.0    5 
11/09/14  4:40a   56.8   56.9   56.6    20   16.1   2.0     S  0.17   6.0     S   56.8   52.8   52.8   49.4   829.3  0.00  0.00     0     0.00      0     0.028   0.000   73.6    12   17.8   69.5   2.95  .0607    0.000   117    1    100.0    5 
11/09/14  4:45a   56.6   56.8   56.6    20   15.9   1.0   ESE  0.08   5.0   WSW   56.6   52.7   52.7   49.3   829.3  0.00  0.00     0     0.00      0     0.029   0.000   73.8    11   15.9   69.7   2.67  .0607    0.000   117    1    100.0    5 
11/09/14  4:50a   56.7   56.7   56.5    20   16.0   3.0    SW  0.25   6.0   WSW   56.7   52.8   52.8   49.4   829.1  0.00  0.00     0     0.00      0     0.029   0.000   73.6    12   17.8   69.5   2.95  .0606    0.000   117    1    100.0    5 
11/09/14  4:55a   56.5   56.7   56.5    21   17.0   2.0    NW  0.17   5.0    NW   56.5   52.6   52.6   49.2   829.2  0.00  0.00     0     0.00      0     0.030   0.000   73.5    12   17.7   69.4   2.95  .0607    0.000   117    1    100.0    5 
11/09/14  5:00a   56.1   56.5   56.1    21   16.6   2.0    NW  0.17   4.0    NW   56.1   52.3   52.3   48.9   829.2  0.00  0.00     0     0.00      0     0.031   0.000   73.5    12   17.7   69.4   2.95  .0607    0.003   117    1    100.0    5 
11/09/14  5:05a   56.3   56.4   56.1    22   17.9   2.0    NW  0.17   7.0    SW   56.3   52.5   52.5   49.1   829.3  0.00  0.00     0     0.00      0     0.030   0.000   73.6    12   17.8   69.5   2.95  .0607    0.000   117    1    100.0    5 
11/09/14  5:10a   55.9   56.3   55.9    20   15.3   3.0   WSW  0.25   7.0   WSW   55.9   52.1   52.1   48.7   829.4  0.00  0.00     0     0.00      0     0.032   0.000   73.8    12   18.0   69.8   2.95  .0606    0.000   117    1    100.0    5 
11/09/14  5:15a   55.6   56.0   55.6    21   16.2   2.0   NNW  0.17   3.0   NNW   55.6   51.9   51.9   48.5   829.3  0.00  0.00     0     0.00      0     0.033   0.000   73.8    12   18.0   69.8   2.95  .0606    0.000   117    1    100.0    5 
11/09/14  5:20a   55.5   55.6   55.5    20   15.0   2.0   NNW  0.17   4.0   NNW   55.5   51.8   51.8   48.4   829.3  0.00  0.00     0     0.00      0     0.033   0.000   73.5    12   17.7   69.4   2.95  .0607    0.000   118    1    100.0    5 
11/09/14  5:25a   55.9   55.9   55.6    21   16.5   1.0   NNW  0.08   3.0   NNW   55.9   52.2   52.2   48.8   829.3  0.00  0.00     0     0.00      0     0.032   0.000   73.5    12   17.7   69.4   2.95  .0607    0.000   117    1    100.0    5 
11/09/14  5:30a   55.8   56.0   55.8    21   16.4   1.0   NNW  0.08   2.0   NNW   55.8   52.1   52.1   48.7   829.3  0.00  0.00     0     0.00      0     0.032   0.000   73.6    12   17.8   69.5   2.95  .0607    0.000   117    1    100.0    5 
11/09/14  5:35a   55.5   55.8   55.5    21   16.1   1.0   NNW  0.08   5.0    NW   55.5   51.8   51.8   48.4   829.1  0.00  0.00     0     0.00      0     0.033   0.000   73.8    12   18.0   69.8   2.95  .0606    0.000   117    1    100.0    5 
11/09/14  5:40a   54.8   55.5   54.8    25   19.6   2.0   WSW  0.17   6.0   WSW   54.8   51.5   51.5   48.2   829.2  0.00  0.00     0     0.00      0     0.035   0.000   73.8    12   18.0   69.8   2.95  .0606    0.000   117    1    100.0    5 
11/09/14  5:45a   55.3   55.3   54.8    20   14.8   3.0   WNW  0.25   6.0   WNW   55.3   51.6   51.6   48.1   829.1  0.00  0.00     0     0.00      0     0.034   0.000   73.5    12   17.7   69.4   2.95  .0607    0.000   117    1    100.0    5 
11/09/14  5:50a   56.0   56.0   55.3    22   17.6   2.0    NW  0.17   4.0    NW   56.0   52.3   52.3   48.9   829.1  0.00  0.00     0     0.00      0     0.031   0.000   73.5    12   17.7   69.4   2.95  .0607    0.000   117    1    100.0    5 
11/09/14  5:55a   56.0   56.0   55.9    23   18.7   3.0   NNW  0.25   5.0    NW   56.0   52.3   52.3   48.9   829.1  0.00  0.00     0     0.00      0     0.031   0.000   73.6    12   17.8   69.5   2.95  .0606    0.000   117    1    100.0    5 
11/09/14  6:00a   56.4   56.4   56.0    23   19.0   3.0    NW  0.25   6.0     W   56.4   52.6   52.6   49.3   829.1  0.00  0.00     0     0.00      0     0.030   0.000   73.6    12   17.8   69.5   2.95  .0606    0.000   117    1    100.0    5 
11/09/14  6:05a   56.6   56.6   56.4    25   21.1   3.0   WNW  0.25   5.0   WSW   56.6   52.9   52.9   49.6   829.2  0.00  0.00     0     0.00      0     0.029   0.000   73.6    12   17.8   69.5   2.95  .0607    0.003   117    1    100.0    5 
11/09/14  6:10a   57.0   57.0   56.6    19   15.1   3.0   WNW  0.25   8.0    NW   57.0   52.9   52.9   49.5   829.2  0.00  0.00     0     0.00      0     0.028   0.000   73.6    12   17.8   69.5   2.95  .0607    0.000   117    1    100.0    5 
11/09/14  6:15a   57.2   57.2   57.1    21   17.6   2.0    NW  0.17   8.0   WNW   57.2   53.2   53.2   49.8   829.1  0.00  0.00     0     0.00      0     0.027   0.000   73.8    12   18.0   69.8   2.95  .0606    0.000   117    1    100.0    5 
11/09/14  6:20a   56.9   57.2   56.9    21   17.3   5.0   WNW  0.42   9.0    NW   56.3   53.0   52.4   49.0   829.4  0.00  0.00     0     0.00      0     0.028   0.000   73.8    12   18.0   69.8   2.95  .0606    0.000   117    1    100.0    5 
11/09/14  6:25a   56.7   56.8   56.7    20   16.0   2.0   WNW  0.17   4.0    NW   56.7   52.8   52.8   49.4   829.0  0.00  0.00     0     0.00      0     0.029   0.000   73.8    12   18.0   69.8   2.95  .0606    0.000   117    1    100.0    5 
11/09/14  6:30a   56.2   56.7   56.2    19   14.4   5.0   WNW  0.42  12.0   WNW   55.5   52.3   51.6   48.1   829.4  0.00  0.00     0     0.00      0     0.031   0.000   74.0    12   18.1   70.0   2.95  .0606    0.000   118    1    100.0    5 
11/09/14  6:35a   57.4   57.4   56.2    17   12.9   3.0     N  0.25   6.0     N   57.4   53.1   53.1   49.6   829.3  0.00  0.00     0     0.00      0     0.026   0.000   74.0    11   16.1   69.9   2.67  .0606    0.000   117    1    100.0    5 
11/09/14  6:40a   58.2   58.3   57.4    19   16.1   4.0    NW  0.33   7.0   WNW   58.2   53.9   53.9   50.5   829.4  0.00  0.00     0     0.00      0     0.024   0.000   74.0    11   16.1   69.9   2.67  .0606    0.000   117    1    100.0    5 
11/09/14  6:45a   58.5   58.5   58.2    16   12.4   4.0    NW  0.33   9.0   WNW   58.5   54.0   54.0   50.6   829.2  0.00  0.00     3     0.02      5     0.023   0.000   74.0    11   16.1   69.9   2.67  .0606    0.000   117    1    100.0    5 
11/09/14  6:50a   58.0   58.6   58.0    18   14.7   4.0   WNW  0.33   8.0   WNW   58.0   53.7   53.7   50.5   829.3  0.00  0.00     9     0.06     12     0.024   0.000   73.8    11   15.9   69.7   2.67  .0607    0.000   117    1    100.0    5 
11/09/14  6:55a   57.6   58.0   57.6    18   14.3   6.0    NW  0.50   9.0    NW   56.7   53.4   52.5   49.4   829.3  0.00  0.00    13     0.09     14     0.026   0.000   73.6    11   15.8   69.4   2.68  .0607    0.000   117    1    100.0    5 
11/09/14  7:00a   57.4   57.6   57.4    19   15.4   6.0    NW  0.50   8.0    NW   56.5   53.3   52.4   49.3   829.4  0.00  0.00    16     0.11     18     0.026   0.000   73.6    11   15.8   69.4   2.68  .0607    0.003   117    1    100.0    5 
11/09/14  7:05a   57.2   57.4   57.2    21   17.6   5.0   WNW  0.42   8.0   WNW   56.6   53.2   52.6   49.7   829.5  0.00  0.00    20     0.14     21     0.027   0.000   73.8    11   15.9   69.7   2.67  .0607    0.000   117    1    100.0    5 
11/09/14  7:10a   57.5   57.5   57.2    21   17.8   5.0   WNW  0.42   8.0    NW   57.0   53.5   53.0   50.2   829.4  0.00  0.00    25     0.18     26     0.026   0.000   74.0    11   16.1   69.9   2.67  .0606    0.000   117    1    100.0    5 
11/09/14  7:15a   58.0   58.0   57.5    19   15.9   5.0     W  0.42   9.0   WSW   57.6   53.7   53.3   50.6   829.5  0.00  0.00    31     0.22     33     0.024   0.000   73.6    11   15.8   69.4   2.68  .0607    0.000   117    1    100.0    5 
11/09/14  7:20a   58.4   58.4   58.0    20   17.4   6.0    NW  0.50  11.0    NW   57.7   54.1   53.4   50.9   829.4  0.00  0.00    37     0.27     39     0.023   0.000   73.5    12   17.7   69.4   2.95  .0607    0.000   117    1    100.0    5 
11/09/14  7:25a   58.6   58.7   58.5    18   15.2   5.0    NW  0.42  10.0   WNW   58.3   54.2   53.9   51.5   829.3  0.00  0.00    43     0.31     46     0.022   0.000   73.5    12   17.7   69.4   2.95  .0607    0.000   117    1    100.0    5 
11/09/14  7:30a   58.1   58.6   58.1    21   18.3   5.0   WNW  0.42   9.0   WNW   57.7   53.9   53.5   51.3   829.1  0.00  0.00    49     0.35     51     0.024   0.000   73.6    11   15.8   69.4   2.68  .0607    0.000   117    1    100.0    5 
11/09/14  7:35a   57.7   58.1   57.7    19   15.7   5.0    NW  0.42   9.0    NW   57.2   53.5   53.0   50.8   829.1  0.00  0.00    52     0.37     53     0.025   0.000   73.5    12   17.7   69.4   2.95  .0607    0.000   118    1    100.0    5 
11/09/14  7:40a   57.7   57.8   57.7    18   14.4   5.0    NW  0.42  12.0   WNW   57.2   53.4   52.9   50.7   829.2  0.00  0.00    53     0.38     53     0.025   0.000   73.3    12   17.6   69.2   2.95  .0607    0.000   117    1    100.0    5 
11/09/14  7:45a   57.7   57.7   57.6    18   14.4   6.0    NW  0.50  10.0   WNW   56.8   53.4   52.5   50.3   829.2  0.00  0.00    53     0.38     54     0.025   0.000   73.5    12   17.7   69.4   2.95  .0607    0.000   117    1    100.0    5 
11/09/14  7:50a   57.4   57.7   57.4    19   15.4   6.0    NW  0.50  10.0    NW   56.5   53.3   52.4   52.1   829.1  0.00  0.00    56     0.40     60     0.026   0.000   73.6    12   17.8   69.5   2.95  .0606    0.000   117    1    100.0    5 
11/09/14  7:55a   57.6   57.7   57.3    18   14.3   5.0    NW  0.42   8.0    NW   57.1   53.4   52.9   52.7   829.1  0.00  0.00    59     0.42     62     0.026   0.000   73.5    12   17.7   69.4   2.95  .0607    0.000   117    1    100.0    5 
11/09/14  8:00a   57.1   57.6   57.1    21   17.5   3.0    NW  0.25   7.0   WNW   57.1   53.1   53.1   53.2   828.9  0.00  0.00    63     0.45     63     0.027   0.000   73.3    12   17.6   69.2   2.95  .0607    0.004   117    1    100.0    5 
11/09/14  8:05a   56.9   57.1   56.9    24   20.4   2.0   NNW  0.17   6.0     W   56.9   53.1   53.1   53.3   829.1  0.00  0.00    64     0.46     65     0.028   0.000   73.3    12   17.6   69.2   2.95  .0607    0.000   117    1    100.0    5 
11/09/14  8:10a   56.8   56.9   56.8    21   17.2   3.0    NW  0.25   7.0    NW   56.8   52.9   52.9   53.1   828.8  0.00  0.00    66     0.47     69     0.028   0.000   73.6    12   17.8   69.5   2.95  .0606    0.000   117    1    100.0    5 
11/09/14  8:15a   56.9   56.9   56.8    24   20.4   3.0    NW  0.25  10.0   WNW   56.9   53.1   53.1   53.6   829.0  0.00  0.00    72     0.52     74     0.028   0.000   73.6    12   17.8   69.5   2.95  .0606    0.000   117    1    100.0    5 
11/09/14  8:20a   57.3   57.3   56.9    20   16.5   3.0     W  0.25   5.0   WNW   57.3   53.2   53.2   53.7   828.8  0.00  0.00    76     0.54     77     0.027   0.000   73.5    12   17.7   69.4   2.95  .0606    0.000   117    1    100.0    5 
